,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
0,9665,6101,11644,29754,3020,110184,3088,2696,5248,6246,3456,2630,26233,2126,58383,3221,2245,3038,19268,29954,5431,27415,3273,8245,11140,39031,6073,20273,48129,5143,14502,2874,5783,15194,57882,6242,가락1동
1,3750,2623,1769,28257,1661,99881,1881,1507,2276,3388,3443,2189,15234,1548,45811,1589,2238,2267,15001,28966,3736,25398,3382,7131,8661,29062,3529,15592,44370,4139,16199,3117,4280,8791,57091,3694,가락2동
2,9711,5823,7521,38285,2935,139000,5591,4122,6102,8715,5566,6602,40542,3599,146753,4999,3786,6118,30418,47389,8275,34066,4064,10115,30119,88871,8412,34858,61515,9947,26269,4415,11196,27359,79312,9336,가락본동
3,1588,698,945,6294,752,26057,615,357,782,1157,646,742,3777,399,13820,554,471,794,3615,5459,1379,4582,1168,1610,3180,9154,1620,3951,9954,1770,2574,1724,1058,1949,16919,1521,가리봉동
4,8265,3684,8057,21058,1891,96334,6131,4173,4089,10954,2113,15107,71842,1746,543898,5217,1610,7335,48726,76165,13799,15707,3299,4551,96217,328887,14170,35197,29773,14652,24151,2909,8237,41964,58034,8712,가산동
5,10382,7660,10100,33356,2773,135930,5972,5035,7752,10668,4135,11284,57215,2582,281715,5486,3098,7221,53712,84645,13139,28710,5107,8259,57442,176256,15889,54977,50975,13849,53557,5216,14346,53694,79579,12579,가양1동
6,2500,1882,1766,14566,809,50148,956,890,1438,2506,2073,1555,12908,1084,35506,1322,1380,1292,9612,19831,2288,11549,1954,2731,5943,22129,1833,8952,23482,2370,8721,1766,1862,6101,31445,2602,가양2동
7,2117,1610,1379,11298,603,42325,1248,1029,1393,2060,1710,1468,10968,756,44924,920,1101,1566,7566,16292,1953,8401,1563,2066,8154,27021,2618,7291,16979,2299,7562,1522,1704,3960,24648,2045,가양3동
8,2039,575,1315,5225,347,12840,826,635,877,4043,1129,1743,16384,253,62434,1625,339,1448,29332,21922,3051,4331,330,1027,11995,34194,3496,19481,8233,1780,6793,361,1029,10553,7750,2028,가회동
9,3284,2349,1808,22689,1277,79840,1011,1313,1309,3384,2418,1279,19583,1859,49322,1513,2061,1620,16837,40290,4131,14766,5631,4511,6197,25822,3142,22962,31250,3898,24212,3066,7078,19338,52326,4709,갈현1동
10,2895,1764,1117,25178,1524,83142,1363,1308,1607,2570,2568,1544,15155,1412,41542,1067,1773,1351,11205,26369,2532,16614,3655,4905,5357,22148,3133,12842,34690,3700,16697,3881,7129,7466,49009,4310,갈현2동
11,6346,3030,4595,45460,1922,155289,4187,2912,6206,4800,4696,4801,21451,1593,88114,2528,4231,4361,17482,32349,4490,27949,3177,9495,20870,55751,6888,17921,60474,7629,14717,3239,4926,8742,85051,6274,강일동
12,4736,2305,2044,33938,1837,123203,2017,1263,2683,3570,3609,1852,14897,1789,34323,1672,2859,1916,12463,25848,3064,21891,4707,6157,5203,21830,2471,15829,46649,3922,12938,4556,3723,8994,73344,4371,개봉1동
13,3133,1152,1250,22639,1788,82861,1005,835,1639,1856,2735,790,6568,1295,13060,825,2048,1017,6674,12255,1389,12397,3542,4038,2654,9666,1397,8621,27607,2208,6490,3985,2168,4273,48852,2582,개봉2동
14,2068,1608,1329,15990,832,64495,1201,798,1379,1878,1718,984,8478,1053,20609,821,1463,981,5203,11300,1256,10529,2066,3107,3139,13412,1590,6102,22137,2228,6266,2020,2398,3907,38647,2402,개봉3동
15,3390,1163,2455,14635,648,35490,3371,1069,3385,2490,2437,2843,8618,641,27487,1415,930,2712,6706,10236,2163,14671,709,2823,6232,20820,3324,6227,25788,2789,3734,690,1396,3021,19023,1644,개포1동
16,5256,2799,3697,24728,1201,76409,3657,2240,5185,4122,3400,3072,19715,1169,59609,2317,1696,3166,13030,21981,3252,24046,1551,6249,10787,31321,4181,12862,45226,5867,9411,1990,3930,6544,39385,3974,개포2동
17,3911,2045,3371,19817,904,63819,2358,1404,2858,3904,2721,3107,14243,777,50452,2352,1496,3332,11540,17224,3295,16719,1254,4501,11759,31589,3714,11819,30293,5130,8837,1391,2947,6926,36532,2944,개포4동
18,2140,1101,742,14719,1335,49795,886,845,1301,2124,2045,1449,10713,1378,24739,894,1435,1121,7824,16684,1866,11167,3331,3634,3825,16369,2159,8664,20919,2427,8799,2924,3908,4250,30430,2623,거여1동
19,3119,1697,1643,23684,1541,81615,1202,1347,1920,2631,2892,1513,12724,1455,32482,1212,2012,1584,10303,19655,2414,16932,3399,5194,5369,19250,2399,11800,35282,2948,10510,3362,2986,6088,47333,3273,거여2동
20,3627,1780,1560,28811,1812,97464,1661,1792,2685,3558,3155,1850,13964,1470,40787,1463,2228,2378,10948,13867,2031,28942,2507,8286,6388,19677,3494,11451,53360,3279,6704,3371,3123,3734,51873,3083,고덕1동
21,4072,2177,1891,17232,1145,61712,1863,1268,2090,3595,2119,2160,13866,1287,39455,1762,1579,2479,9791,16315,2499,16800,2223,4453,6028,21844,3277,10165,32317,2348,8551,2449,2128,3865,37362,2152,고덕2동
22,4183,3667,2968,21817,1140,78184,1903,1990,2449,4380,2256,1887,24234,1412,57001,2091,1698,2092,15259,32710,3880,14996,2657,4352,8662,37104,3321,19741,30106,3639,20864,2532,4527,13487,47098,3483,고척1동
23,1979,1802,1066,18123,790,61530,906,909,1124,1842,2186,1006,9784,867,20623,723,1353,852,5799,12126,1330,13475,1550,3731,3204,13118,1352,6390,27166,2057,6211,1601,1855,3084,37081,1786,고척2동
24,7575,2842,4862,44283,2924,176058,3003,2831,3400,6259,5110,5369,29747,2552,149440,2990,2798,3704,33835,48540,6964,34974,5563,8991,32179,90676,7959,36554,67668,7385,25697,6104,6735,29392,101029,7540,공덕동
25,7266,5213,3963,42997,2288,153883,3391,2755,3132,6531,4978,3013,36556,2178,72852,2861,4220,2697,29099,56466,6991,32461,4720,11188,12478,48988,4936,34717,62628,7062,34661,4615,8783,24630,93542,6990,공릉1동
26,5463,3573,2714,40113,1470,147067,2365,2611,2603,6588,4495,2984,39268,2011,104023,2765,2915,2403,29062,44128,5940,35674,3671,11760,18666,57219,6014,23594,60569,5581,20610,3406,6208,12970,84017,4210,공릉2동
27,8241,3515,4699,26403,1308,85613,3980,2921,3583,16607,3279,5632,45722,1537,99066,4580,2633,4360,25683,38510,6119,23049,2362,6021,24816,59722,5457,39871,46498,7017,20220,2477,5073,18233,50805,4419,공항동
28,5943,4019,3798,36126,1537,136331,2589,2863,3236,5549,4573,2885,27694,1766,80996,2264,2120,2327,25122,38762,4924,36218,3663,8313,14786,46618,4065,25360,63480,6238,20027,4166,6294,14450,79562,4788,광장동
29,9197,2901,6499,9030,1468,27943,3364,3259,3791,7682,1537,6431,35495,1513,219597,4735,1139,4975,66963,68439,13662,8056,1890,3149,42880,144445,13080,58205,12447,10209,31353,1843,12663,36250,19964,14274,광희동
30,3805,1962,2191,11788,1081,48368,1728,1561,1438,3881,1863,1871,20184,1469,43282,1732,1165,1833,12829,21677,2858,9878,3229,2848,8449,23157,3362,12135,20246,2382,8885,2289,2836,7604,26881,3334,교남동
31,2157,864,1215,16811,754,70111,946,722,1295,1657,1850,965,5803,642,21852,717,1238,1034,5247,7283,1248,13218,1047,2724,3885,12312,1269,5271,25412,1706,3166,829,1196,3387,43824,1605,구로1동
32,6446,4058,3578,27570,2242,96131,3372,3598,2971,7765,3573,4602,40790,1995,130880,4316,2596,4341,20340,35490,6309,19319,3727,6173,26412,88701,8022,15936,40802,7389,12934,5078,4639,10707,56979,5390,구로2동
33,6598,3424,4953,24096,1788,95008,3212,2718,2629,7243,3245,10008,42617,2646,416612,3425,1962,5980,38836,63695,11051,16667,6515,5802,71899,243316,13081,38540,34550,12178,36146,4952,11557,41971,65567,10264,구로3동
34,3307,2334,1999,21889,1770,77658,1495,1249,1753,3170,2651,1764,15599,1789,31391,1520,2367,1343,12229,28000,4363,12781,4955,4647,6562,22817,2866,14197,28642,5015,13011,3970,4543,7937,47298,4980,구로4동
35,7152,4828,5233,29569,2202,135762,3214,2981,3773,6365,3516,4594,37096,2924,125762,3326,2561,3068,37926,68992,9321,20782,6146,6337,23754,77197,6757,42013,42969,8134,37492,5464,8292,40003,86728,8951,구로5동
36,3333,2101,1247,34375,1735,108657,1833,1556,1669,2778,3080,1981,17235,1691,61122,1116,2556,1849,10027,18174,2386,26087,2841,7687,7653,27773,3726,9621,52751,3376,8425,3686,3073,4408,64110,2748,구산동
37,4915,2207,2356,25411,2235,99753,3029,1538,2489,3343,3895,2076,12648,1802,48101,1539,2112,1817,15552,25246,4139,18196,4601,5794,8502,29050,3589,20888,34723,4705,19587,4500,7049,15646,61477,6294,구의1동
38,4613,5208,3017,29155,1653,107952,2165,1833,2452,4267,4375,2485,23702,1576,64093,1892,2312,2264,16556,28719,3817,23955,3276,7112,10620,35587,3848,16382,44425,4355,13615,4287,4320,8858,61918,3646,구의2동
39,5982,2482,3188,31376,2316,122460,3358,1803,3298,5666,4870,3286,26163,2205,88296,2151,2753,2462,28194,51770,6347,23286,6113,6125,17597,59279,5337,31968,43201,6049,29350,5317,7344,19731,74491,5656,구의3동
40,3280,1468,1989,17782,1116,66886,1431,1156,1323,3907,3427,2538,21545,1972,70338,1630,1511,1798,23056,28862,4161,19360,3917,7628,16108,44853,5323,18527,27927,4711,15719,2910,5093,14106,41355,4053,군자동
41,2693,2242,894,20359,1617,73881,974,1155,1308,1769,2780,1010,10044,1730,23678,627,1268,992,8860,19469,1751,15692,4399,4042,3889,15782,1508,9217,31314,2547,9787,3735,3310,3691,43595,2582,금호1가동
42,3321,2680,1370,25285,2200,96595,1098,1181,1967,2521,2797,1377,13519,1912,32065,922,2051,1534,8912,16842,1687,17983,3884,5298,4324,17169,2183,10172,37243,2680,8254,5024,2492,4056,55304,2872,금호2·3가동
43,2470,1556,1218,18122,1439,58063,877,930,1430,1971,2714,1106,9251,1604,22087,759,1347,993,9415,16605,1702,13421,3393,3466,4127,14618,1616,10311,26024,2359,8626,2910,2840,4865,34986,2225,금호4가동
44,11131,8350,6538,58361,3583,199811,4755,5260,4806,12115,9029,5919,67296,4638,149135,5786,6278,4917,50084,110419,13042,43570,9273,14030,29936,98142,8883,51779,79129,11202,49985,7711,16743,33974,124576,10083,길동
45,5007,3055,1933,37171,2286,156056,1670,1919,2619,3356,2986,1512,17366,2540,45612,1102,2349,1497,16458,29131,3017,33359,6745,9076,7555,28413,3370,18878,65871,4269,17802,6728,7778,7029,86511,4771,길음1동
46,4148,1904,1823,24697,2411,99635,1696,1459,2396,3145,2212,1546,17268,1640,39391,1376,2023,1472,21912,57145,4787,16280,5316,6006,6057,28525,3137,21781,34611,3393,25890,6790,5638,11268,52779,3700,길음2동
47,5273,5271,3806,26844,3077,98935,2000,1666,2656,4287,2624,2033,25342,1751,62664,2000,1459,1796,29576,42414,7283,24558,4566,6179,11682,36364,3962,45365,37807,5574,35509,5160,7083,37789,67173,6447,낙성대동
48,2043,1375,1007,20585,581,75946,878,460,788,1797,2278,1271,8941,823,23680,714,1539,853,4904,10389,1336,13084,1268,3972,2898,11430,957,5927,27743,1690,4911,893,1497,2895,46064,1598,난곡동
49,954,504,385,13643,285,50174,371,339,285,660,1362,453,3654,234,9595,314,968,426,2397,4083,501,9245,237,2589,1599,5739,459,2535,21357,875,1816,258,715,1024,27834,630,난향동
50,1944,1859,1628,8834,942,32488,762,1055,1495,2158,1398,955,12870,1186,20640,984,1093,1191,7895,19742,1955,7840,3116,2728,3317,13705,1493,8207,14965,1949,8841,1978,3001,4395,18866,2091,남가좌1동
51,3407,1967,1666,24572,1618,81469,1324,1022,1760,2884,3231,1822,15265,2098,35606,1121,2165,1619,14608,25780,3521,21366,4273,10157,6868,21267,3429,15486,37088,3702,14146,3659,4414,7141,45682,3791,남가좌2동
52,6161,2944,4275,9550,949,32453,2693,1512,2244,6923,1375,3689,30657,1119,105329,2947,872,2692,34354,35420,5866,7843,2060,2416,23289,62094,5765,33927,14390,4352,18970,1558,4274,27138,21741,5052,남영동
53,5463,2522,4226,25084,1015,101991,2157,1385,1614,3046,3047,1591,17748,1210,40260,1582,1755,1231,20563,30686,4057,18238,2264,4817,7628,24521,2716,26651,36436,3548,18174,2341,3678,26261,60821,3447,남현동
54,4123,1202,2938,17773,207,45352,2183,1223,1102,3678,2277,3056,16615,199,66346,1955,868,1296,11736,17059,2742,13074,248,2552,21681,43280,3096,8356,28609,3272,4273,362,1210,5395,27020,1614,내곡동
55,5677,3023,4113,34012,1734,120018,2883,2170,3117,4075,4239,2950,21740,1636,76968,2166,2476,2528,20333,29731,5008,26174,2840,7459,12838,38448,4197,23627,50778,5888,18149,3104,6425,19913,70342,5695,노량진1동
56,5010,5171,4715,22654,1580,72102,2891,1966,3142,3690,3439,2576,18344,1248,63380,1967,2063,2264,15435,24207,3693,15790,2369,5728,11674,32260,4210,18292,29814,5241,13405,2616,4038,19701,41000,4305,노량진2동
57,5530,4106,3369,38452,2159,144852,2545,2333,2415,4514,3938,2491,27309,1937,76540,2284,3006,2690,21401,44345,5230,27451,4314,7882,12814,51077,4540,23526,57811,5829,22423,4834,6918,15115,83309,5038,녹번동
58,12027,6108,10039,24119,2069,88684,4443,4039,5060,11710,3833,10211,41524,2003,281583,5093,1748,5814,74671,59998,17695,26589,2896,10864,71482,167433,19036,69636,38256,16002,41646,3086,12093,67019,53749,14278,논현1동
59,10820,4184,7118,24361,1950,78171,5562,5045,4885,13889,4313,13390,55862,1804,392913,6493,1718,7655,75715,66252,18702,27303,2689,7720,98743,219575,19201,63859,42813,20067,34997,2791,13986,52639,48579,13760,논현2동
60,4516,7947,2343,15781,1285,64213,1121,1476,1416,4245,1822,1558,26898,1267,51057,2096,1312,1574,26339,45878,5498,13465,3023,4619,9465,33695,3942,20511,23429,3253,22142,2935,4507,14817,39537,4252,능동
61,3147,1861,1742,17477,1521,63773,1340,820,1441,3798,2450,2330,21068,1791,67729,1762,1649,2047,14473,20905,3288,13382,3233,4215,12209,38090,4145,13950,26220,3824,10192,3733,3181,9432,39654,3282,다산동
62,5565,2833,3335,33197,2150,130252,2375,2184,3089,4982,4309,2719,22386,2576,68134,2220,2531,2693,19126,34631,5007,25840,4938,6919,11817,45767,4358,19759,49543,5722,17371,4683,6478,12175,79395,5712,답십리1동
63,3883,1970,1909,24303,1995,92739,1820,1122,2177,3166,2836,2007,12837,1756,49496,1458,2200,1593,12646,24819,3539,16418,3995,5129,7937,34417,3950,13745,34758,4106,15270,4500,4388,7613,55583,4184,답십리2동
64,6062,3153,4348,23405,1744,103446,3270,1805,2751,5483,2793,4831,30000,1515,148807,3288,1947,3692,23897,36420,6204,19912,3397,5441,29317,97980,8428,23265,35178,7618,17857,3595,6499,24143,59945,7504,당산1동
65,6138,3177,5345,29740,2048,144311,3462,2075,4332,5852,3667,4015,29758,1972,117397,3043,2150,3382,28905,43010,6200,25634,4698,5521,23041,69130,6201,32384,42840,6178,24869,4268,6345,41349,87208,7997,당산2동
66,3014,2396,1595,18101,1274,55392,1363,1379,1377,3403,2925,1422,17277,1718,29067,1346,1535,1365,8394,16646,2435,11340,2770,3967,5257,18319,2134,8790,24694,3566,8454,2902,3177,4715,33641,3005,대림1동
67,4304,2150,1883,24665,1716,79715,1629,1305,1496,3487,3303,1665,13734,1158,29039,1396,1687,1074,13915,20767,3807,15645,2901,5210,6818,23716,3477,16658,34583,6073,10824,3599,3872,8730,46612,5426,대림2동
68,5644,3016,2828,31218,2011,102119,2718,2232,2263,4960,3867,2641,20574,2049,56157,2243,2374,1860,19136,33044,5520,19275,3930,6300,10685,39296,4277,23485,40590,7261,18331,3857,5892,14291,60919,5607,대림3동
69,6251,5589,4905,36806,2169,151796,2558,2501,3513,5919,4203,3060,32798,2507,100514,2960,3272,3583,22783,45282,6013,30064,5363,8200,14077,50375,5474,23804,55357,6360,24764,4681,8768,17873,91301,6996,대방동
70,7361,5930,6325,42742,2541,161190,3872,3884,5786,6395,6065,3800,41389,2989,84750,2873,4176,3481,31164,80059,8085,31038,7239,10516,14497,53988,6475,32331,63036,9348,35626,6030,10529,22138,95868,8692,대조동
71,4775,3103,2676,28398,2028,90586,2133,3577,3255,5922,3580,2986,35575,2530,111524,2609,1540,3344,37905,88898,9299,34134,6378,8729,15332,51303,8019,34854,46280,7335,66076,5983,21272,20627,45440,9748,대치1동
72,11052,4607,6942,34108,1977,109731,6053,4966,6686,12002,4445,11195,59466,1824,339800,6484,1999,8616,72127,94246,16167,33937,4255,8866,75716,171276,20999,56319,54015,14010,62454,4771,21476,38206,57532,16307,대치2동
73,8195,4402,5585,23469,2600,89312,3724,3878,5687,9280,3393,8195,44803,2923,267437,4136,1950,6495,67010,106118,16876,25572,8791,10136,53710,140388,19938,72004,35806,16861,91073,7617,39861,57837,53661,28736,대치4동
74,4019,3755,2595,19323,1063,65386,1571,2016,1263,7864,2295,4733,48197,2927,152587,2587,1895,3251,41088,53244,6052,20113,3765,5751,46307,97489,6137,16454,29894,6561,17752,1962,7575,8136,38509,2994,대학동
75,5121,3173,3435,21498,1993,83113,1750,1719,2841,5004,2571,2761,31573,2511,96583,2001,1778,2849,38008,53533,5962,28612,5513,7339,19757,55914,6972,30980,37380,6747,32217,5395,9995,19174,49575,6378,대흥동
76,8044,6015,7530,37780,2122,116725,4739,4708,6066,11273,6050,7339,57812,2265,176965,5663,3251,5786,39437,56041,8751,41785,3379,10559,41802,98858,12166,30521,68282,9560,23396,3139,7257,26361,64466,8790,도곡1동
77,6463,4194,3856,35098,2682,96337,2654,2678,3094,5500,3499,4024,30505,2385,121242,2798,1532,3589,28931,46182,5854,36513,4884,9378,22657,61007,6383,27810,54117,5843,24199,5349,5480,15793,48204,4760,도곡2동
78,3610,1874,1928,25726,1712,92425,1629,1111,2018,2621,3170,1175,9671,1228,23808,1109,1902,1243,8709,12726,2167,17887,3389,5119,4736,15769,2378,10958,35862,3575,8037,4163,3293,5747,52673,3436,도림동
79,4048,3904,2082,22841,1034,65438,1890,1084,1613,3188,2732,1895,21806,990,35674,1709,2034,1376,14010,37940,3827,13954,1941,4412,6198,25873,2273,12246,31110,3698,10701,2264,2558,7339,39094,2963,도봉1동
80,3323,2631,1984,21807,1133,66728,1401,1308,1511,2433,2622,1469,13248,1215,33162,1174,1691,1241,9395,19505,2122,13115,2304,3306,6354,21781,2345,8712,29628,2615,7882,2696,1867,5138,37572,2213,도봉2동
81,3979,2295,2561,17087,1220,65817,1245,1293,1986,3716,2242,2341,16674,1502,64694,1745,1315,2047,21574,29859,4004,13965,4421,4434,12885,39900,3694,30140,26448,3966,21870,3009,4736,31988,42417,6791,도화동
82,5742,2530,4589,29377,1985,136340,3425,2460,4345,4963,3675,4493,21847,2114,111092,2726,2447,3489,17942,28254,5663,22112,3558,6702,18948,67244,6996,18782,41757,7133,13544,4045,5051,12566,80991,6482,독산1동
83,1992,1799,1501,14380,901,49884,773,666,932,1369,1634,675,6138,679,11500,624,912,652,4906,8563,1360,9314,1450,2607,2162,7869,1135,5555,19329,1894,4762,2092,1284,3417,29710,2184,독산2동
84,3179,1362,1699,22086,1251,81958,1626,994,1842,2405,2782,1601,9577,985,36150,1065,1732,1577,7719,12694,2459,14820,1905,5618,5793,21790,2903,8685,30733,3804,6243,2670,2721,5026,48600,3243,독산3동
85,2333,1878,1375,14940,829,52788,1023,744,1163,2204,1619,1347,12551,951,21795,1122,1117,1121,8487,17556,2812,9305,2467,3383,3590,14661,1628,10224,20216,2926,10097,1870,3017,6697,34057,3616,독산4동
86,1979,953,763,18175,1176,60471,728,656,896,1640,2264,766,7757,1141,22524,554,1249,920,7095,14125,1312,13142,2515,2968,2702,12566,1316,7949,27254,2003,10802,3091,5075,3976,35832,2357,돈암1동
87,1771,517,431,15609,1514,50660,599,417,1074,1222,1885,648,4926,1194,20477,296,880,653,5072,8399,703,11659,3038,2910,2400,10714,1292,5307,22836,1321,3647,3699,1819,1175,26738,1735,돈암2동
88,4980,2790,2992,27584,2033,109311,1663,1843,2161,4492,3460,2381,25646,2389,92589,1711,2024,2374,31201,53059,6793,24772,6011,7954,12412,47281,5247,39961,43669,6192,42161,5884,12462,30946,67894,7942,동선동
89,1931,961,1110,12306,1266,41531,999,803,1192,1458,1580,1226,6354,1149,35071,698,1058,1069,7269,11391,1980,8787,2697,3773,5695,21819,2929,7819,17035,3000,6041,2909,3336,4509,23545,2509,동화동
90,563,665,405,1798,171,5155,404,711,827,622,312,495,2574,178,19257,342,150,912,1171,1973,335,1966,184,513,1571,5661,1277,1028,3130,560,799,228,360,577,2894,552,둔촌1동
91,5609,3822,2724,28097,1753,92260,2518,2647,2773,5602,3527,2735,28090,1580,69286,2598,2374,2377,18860,34266,4797,23776,3283,6912,12049,42050,4394,19267,43053,4787,15862,3843,4644,10601,55126,3818,둔촌2동
92,3939,1938,2657,26594,1787,120945,1931,1677,2944,3584,3058,2711,16375,1487,74980,1586,2054,2205,17933,29776,4101,23447,3544,5452,15134,48743,4099,18698,40909,4973,16606,3872,4880,13226,69154,5375,등촌1동
93,2221,1431,998,20367,1061,76108,885,1080,898,2156,2755,1217,12403,1157,41240,990,1318,1263,6981,11759,1377,19720,1993,4635,5052,17805,2139,6657,34608,2034,5168,2350,2020,3018,45244,1560,등촌2동
94,14164,4777,5518,34090,2112,124000,4493,3433,4379,11214,4579,6217,61852,2212,171456,4713,2792,4852,50407,88633,10753,27910,5709,7684,27429,94574,9495,54498,50212,8427,48043,5000,9406,35123,77273,10555,등촌3동
95,5337,2927,3190,27345,2149,94262,3863,2076,2940,4570,3560,3440,20086,1687,85169,2315,2348,2655,19252,26855,4458,21989,2679,8143,13750,50685,5616,22010,38727,5502,14850,3872,3743,15853,53374,4356,마장동
96,1987,1013,1015,17840,894,53872,972,670,1650,1099,1911,904,5238,571,10493,566,1527,775,4685,8205,1093,11364,1479,3911,2822,8415,1118,4883,23605,2278,3487,2369,1134,2025,29132,1708,마천1동
97,2385,1286,975,19658,1157,55903,1385,1054,1203,2080,2792,1535,7837,1255,19413,825,1848,1421,7286,16627,1966,11888,3314,4302,3150,14325,1652,9366,25222,2587,8782,2840,2552,4156,32573,2430,마천2동
98,1722,837,655,17172,1065,48902,1000,592,847,1494,2084,1264,7146,954,32715,645,1197,1152,5290,9383,1369,11270,1691,3731,3864,17580,2070,5838,22747,2020,4512,2328,1957,2746,31874,1757,망우3동
99,5941,4260,4163,36719,1941,128654,3159,3138,3715,5306,4531,3267,30537,2205,85530,2765,3324,2886,25010,59883,6878,24620,4817,8894,12106,51892,5345,28339,49161,6300,32012,3538,7564,17813,81142,6816,망우본동
100,3143,2128,1357,23228,1215,81862,1361,914,1281,3020,3534,1754,14160,1405,31095,1237,1590,1009,24849,33394,4359,19327,4222,6363,7725,23697,2730,27879,32378,4146,21721,4700,5025,15511,51242,3918,망원1동
101,3111,2193,1654,21714,1106,74722,1591,838,1317,2348,3334,1460,9279,847,18474,1089,1530,1057,14565,18583,2603,16797,3151,5557,4158,13202,1876,17299,29904,2940,12803,3164,2792,7790,44440,2392,망원2동
102,3208,1869,1449,25933,1288,91263,1608,1198,1195,2640,3037,2100,12560,1176,43019,1137,2142,1821,9620,16357,2613,20056,2516,5945,7246,28435,2815,10415,37427,3586,7894,3227,3164,5880,54415,3031,면목2동
103,3843,4276,2567,24220,1863,85524,1504,1467,1917,3942,3115,1968,24084,1861,51679,1782,2153,1700,14563,30609,3827,17365,4473,5581,8122,32366,3496,17053,35068,4120,18914,3881,5771,11693,54930,4741,면목3·8동
104,3083,2444,1474,20131,1081,72567,1170,1051,1360,2358,2186,1189,13238,1068,31280,1001,1693,1002,8326,17487,2069,14221,2100,4202,4949,18811,1660,8643,28470,2706,8749,2728,2357,4470,43618,2240,면목4동
105,2174,1276,1305,16422,1255,54700,845,674,1382,1578,2212,821,7013,824,16197,678,1360,666,5576,11609,1396,11839,1767,3527,2842,10846,1239,6532,22816,2106,5319,2524,1556,2881,30573,2048,면목5동
106,3298,3032,1904,26399,1461,90326,1164,1190,1601,2478,2857,1379,13440,1831,32832,1180,2016,949,10320,21278,2627,16751,3866,5160,4826,21526,2179,11837,36248,3217,11536,3321,3109,7179,56240,3094,면목7동
107,3947,1985,2523,34535,1636,131540,2016,1176,1743,3632,4320,2445,17993,1527,49731,1686,2691,1517,15243,32614,4450,24179,3937,6973,7514,34998,2962,18480,46250,4900,16698,4025,5248,13172,82258,5335,면목본동
108,14892,4074,10484,5747,1535,16296,6561,5448,8026,17323,882,18354,87181,1260,646899,9174,345,12940,127377,111783,23550,6914,1153,1903,133814,360343,45653,120453,9583,16617,53306,1362,13322,86065,10100,27330,명동
109,5458,7047,3642,30585,2994,101587,2523,6024,5711,4337,4318,2528,23596,3224,53423,1581,2749,2856,17910,40164,4050,24112,6605,7942,8105,30807,4134,21868,45377,6145,25889,5628,10416,12050,61548,7645,명일1동
110,2635,1877,1033,15186,1564,47056,1096,1416,1983,2979,2114,1052,17375,1841,41487,1239,1540,2306,14676,41707,3965,12167,4326,3636,5241,25615,3508,15741,22028,3353,30309,3871,13603,9029,28354,5867,명일2동
111,6551,5795,5447,26894,2019,103096,3119,4909,4651,7638,3317,4624,46622,2424,146934,3725,1992,3622,49500,132459,12202,25928,5852,7907,22972,84513,6711,51115,42378,8175,82271,4937,16820,41734,58570,8352,목1동
112,4172,2714,2117,35481,2002,146388,1456,1256,2481,3113,3640,1615,15593,1765,39238,1201,2944,1569,12849,19463,2354,31675,3734,8290,6854,23096,2606,14297,56933,3688,11735,4778,3477,7713,83057,3883,목2동
113,1973,1315,676,12808,1152,49053,613,607,1028,1559,1486,809,7256,1073,14447,561,1001,656,6107,13864,1350,10803,2740,2808,2831,9384,1099,7416,19114,1644,6960,2255,1790,3150,28126,1655,목3동
114,2759,1634,1331,25822,1394,92084,1137,1034,1651,2969,3501,1458,14012,1676,37042,1034,2107,1502,11652,24290,2528,24450,3900,7296,5665,20359,2513,13453,40947,3644,17533,3121,5944,7152,55548,3324,목4동
115,5351,5422,4126,30754,1340,111575,2736,3259,3689,5485,2929,2135,34534,1065,63604,2482,1521,2169,24531,52662,5650,29757,2523,5156,12511,42723,3872,23199,50089,5483,39327,2771,15493,16143,58227,6897,목5동
116,1511,1408,832,8307,470,25413,383,576,431,2456,1165,378,12615,604,11993,940,559,424,7372,11107,1111,6257,1026,1493,2200,8858,624,4056,12512,697,3884,848,1271,1908,14856,826,무악동
117,4013,5055,2358,30914,1720,108299,1758,1865,2292,3103,3321,1621,18376,1802,46268,1302,2529,1965,11423,23861,2412,23665,3512,6984,6299,24584,2987,13106,46782,4158,13233,4834,5005,7892,64422,3884,묵1동
118,3982,3526,2069,24604,1743,94763,1488,1061,1837,3148,2572,1901,16095,1533,38829,1402,2717,1477,14175,29017,3558,17887,4227,6245,6971,26149,2561,16497,36927,4468,16867,3521,5528,9554,58063,4136,묵2동
119,7761,5424,6491,24762,1588,111501,3413,2848,4632,7362,2845,6031,41371,1879,194136,3980,1816,4386,33796,47465,7394,23652,3236,5939,35514,117619,8775,34387,43393,8112,26680,3357,6956,34022,67001,8251,문래동
